40000 100000
1 38033 14885
1 39789 32191
1 17051 39555
1 17283 36310
1 30139 14312
1 7603 5397
1 38530 11501
1 25775 37959
1 33427 35186
1 29653 17677
1 20275 32214
1 3720 28303
1 13802 34144
1 29247 7454
1 14709 14963
1 32714 32628
1 14014 1708
1 20225 9717
1 8419 414
1 21935 21644
1 19673 37822
1 10618 30937
1 24311 18692
1 22415 18161
1 24900 31926
1 38173 24247
1 29455 19176
1 12624 12743
1 32691 24235
1 18693 20060
1 36502 2140
1 36714 438
1 3940 33198
1 27483 36755
1 39706 6665
1 16424 37012
1 19116 22654
1 31286 4001
1 35417 21621
1 36303 517
1 26200 20218
1 35075 16614
1 34671 19183
1 22111 22584
1 7512 28957
1 776 16387
1 18229 33958
1 6243 37467
1 6766 18072
1 27607 4550
1 11431 6097
1 21567 17173
1 31980 27989
1 33009 29786
1 16897 4474
1 11876 5245
1 31853 37734
1 17772 7747
1 13519 66
1 22845 16127
1 4921 31132
1 6422 33269
1 17521 8840
1 23874 18500
1 30720 31426
1 8163 38022
1 26081 7523
1 32913 9208
1 22346 17172
1 6885 24892
1 31079 20872
1 8776 2363
1 853 21659
1 38827 26273
1 39168 3205
1 31679 25065
1 24857 12154
1 3641 26140
1 16625 3378
1 35073 5764
1 27733 16878
1 15629 13880
1 30288 35230
1 21320 16180
1 1731 39466
1 25644 12016
1 1420 39516
1 25201 13845
1 38679 17792
1 15621 31709
1 39093 928
1 38431 7433
1 39159 14843
1 1147 5326
1 11026 23463
1 17902 22324
1 39933 19670
1 23991 1318
1 38201 30187
1 1673 23566
1 11591 31630
1 8374 5878
1 33120 2405
1 14842 32634
1 29948 16401
1 36625 2628
1 22667 38015
1 17403 25824
1 23171 34858
1 29898 789
1 33977 9509
1 26048 23485
1 36660 21319
1 14674 12363
1 14204 36788
1 9664 26187
1 724 28900
1 21 17669
1 15163 2510
1 7198 24885
1 19499 4965
1 14911 31394
1 14276 23512
1 14916 5695
1 7448 20103
1 5732 3030
1 546 11342
1 38916 29671
1 34092 12182
1 9432 2699
1 8196 6114
1 23735 21220
1 30190 6270
1 15259 26725
1 11030 32502
1 29232 8220
1 13614 4844
1 6728 5499
1 38698 27798
1 23372 39130
1 9674 36252
1 5263 17198
1 17484 17768
1 26578 32199
1 20618 23747
1 34151 7876
1 18049 33300
1 11697 37999
1 30667 1031
1 7432 22156
1 22605 26618
1 33444 12273
1 7381 23728
1 33071 39463
1 35122 36407
1 2811 12127
1 39054 30336
1 1280 16419
1 12946 2509
1 12714 8111
1 4353 1481
1 39205 17249
1 14039 24707
1 13885 5967
1 24701 38923
1 34916 10313
1 19711 19388
1 9434 36303
1 13616 8032
1 11581 12882
1 5492 5085
1 24172 20099
1 600 12567
1 11699 31573
1 20525 21537
1 34754 35503
1 34425 34075
1 39221 22649
1 32712 28572
1 13033 17867
1 39719 34756
1 24959 8992
1 11407 31942
1 31666 13027
1 35514 39375
1 21092 21566
1 38061 9556
1 27528 22092
1 10227 26002
1 12205 3635
1 3068 5783
1 29286 8915
1 31876 5471
1 35066 24314
1 1415 20733
1 3515 9714
1 27990 19054
1 27074 18484
1 38380 33691
1 3115 38592
1 28148 27767
1 36137 38595
1 14913 3756
1 30620 25764
1 23690 36374
1 9613 29784
1 4134 10277
1 9868 20340
1 25469 20009
1 2353 22075
1 16582 12672
1 22706 38334
1 14229 28742
1 23849 3287
1 37006 1314
1 15740 27342
1 34575 39280
1 34270 22842
1 38750 9244
1 1553 26742
1 25978 4024
1 8390 17003
1 22418 4513
1 27660 15325
1 4732 24464
1 4893 4206
1 8923 20817
1 13289 3364
1 36143 31722
1 38616 31661
1 20537 21432
1 36041 28321
1 25540 38900
1 3423 19236
1 623 24328
1 2451 23894
1 31477 10276
1 3723 36317
1 30378 32452
1 14839 28460
1 21956 34737
1 27685 11500
1 24248 1959
1 5542 38778
1 636 31363
1 20628 4636
1 27443 36321
1 38753 13837
1 33295 11059
1 30360 6137
1 3329 35647
1 26310 3728
1 36846 19237
1 20819 23308
1 22468 16237
1 3839 6696
1 25064 5497
1 24345 31686
1 27090 14884
1 30090 28526
1 16004 28600
1 13303 2215
1 1603 24791
1 39835 35720
1 33687 39961
1 4353 1609
1 26285 27544
1 35296 16531
1 39585 38684
1 21720 31788
1 2754 832
1 18227 35830
1 1715 17181
1 14020 22536
1 31347 15222
1 8717 22315
1 10740 7615
1 2372 4595
1 8366 28145
1 17208 21038
1 34517 33356
1 25748 16630
1 6728 10631
1 5107 13452
1 3267 1096
1 7270 18184
1 23307 26957
1 10644 14248
1 8508 5933
1 28932 15250
1 27357 7935
1 16025 20683
1 34904 15830
1 17610 39761
1 37857 9727
1 19572 26343
1 17434 4762
1 9803 26762
1 29043 12424
1 4815 34056
1 10593 1195
1 10375 35977
1 24988 18352
1 34732 8911
1 15731 3494
1 21101 11652
1 11603 29464
1 12189 16410
1 34173 17378
1 33993 38480
1 25285 20567
1 13542 33940
1 28975 28904
1 23692 36925
1 35373 7584
1 36060 31778
1 39852 31913
1 343 30700
1 32451 16857
1 39862 20219
1 29720 35325
1 31300 38246
1 10980 26507
1 9386 2615
1 18840 22454
1 27681 34161
1 23831 15792
1 12140 18234
1 25234 3377
1 1745 5640
1 31821 22693
1 24700 5236
1 14527 20756
1 8906 5077
1 35525 21064
1 18493 32038
1 4077 16269
1 37802 14519
1 16454 26499
1 23803 1172
1 8137 1314
1 39382 1681
1 37720 25413
1 18954 861
1 2347 3544
1 18687 5365
1 10649 36556
1 18129 31114
1 26824 23731
1 35165 33609
1 27349 10277
1 9121 33048
1 37026 15029
1 6111 28896
1 21920 12912
1 34839 26071
1 38023 31359
1 963 27223
1 35175 16542
1 22643 34064
1 1091 26884
1 3576 5970
1 11735 36821
1 38926 25935
1 24883 10490
1 36406 4457
1 25033 21375
1 6871 22901
1 22936 30368
1 19663 30243
1 3383 24388
1 6308 25478
1 10076 11086
1 30775 1267
1 35131 6385
1 29870 11410
1 8449 14228
1 16297 34475
1 26965 18988
1 15333 35400
1 20414 27754
1 9193 6351
1 32031 28350
1 10037 20692
1 34295 37753
1 23443 17192
1 9215 35969
1 12942 37144
1 18631 38520
1 33345 4768
1 3864 37017
1 21329 5819
1 10170 35187
1 35481 25888
1 7756 29995
1 12318 22217
1 26798 21782
1 24403 1794
1 21490 38763
1 19829 20380
1 32242 27887
1 29369 25567
1 1946 12720
1 22475 35178
1 25430 9489
1 9127 39417
1 6891 5051
1 17155 21521
1 24373 27667
1 21865 9913
1 17073 8108
1 22021 16276
1 16335 15930
1 34031 12272
1 21869 1844
1 10065 23300
1 31467 32013
1 14607 37673
1 36130 2234
1 27467 26811
1 3082 8813
1 35478 35550
1 534 16580
1 10589 12153
1 25902 12146
1 30932 10698
1 31153 14728
1 2821 6513
1 4189 9951
1 12657 2050
1 24234 19522
1 15163 32348
1 24509 36371
1 1873 4580
1 13026 34245
1 34672 30631
1 12095 4587
1 10012 19176
1 13758 11698
1 5359 22418
1 7204 28102
1 37639 6002
1 39802 9633
1 36862 5345
1 3868 17580
1 33867 9990
1 36151 1130
1 8534 21328
1 23917 16236
1 38524 2916
1 15875 3679
1 37731 26683
1 16297 21133
1 34144 27932
1 36932 28807
1 7011 3271
1 37 36430
1 23976 25123
1 27194 12623
1 7044 5104
1 10275 10354
1 27417 24815
1 21434 7394
1 17145 31559
1 19959 38106
1 26724 14827
1 27396 11716
1 21980 13654
1 25783 35640
1 18810 4533
1 4614 2723
1 14836 35584
1 35749 27264
1 1943 33918
1 5395 28118
1 34609 30185
1 23519 18527
1 23760 1424
1 34230 25638
1 30110 35611
1 27759 13581
1 9155 20624
1 8729 10396
1 6772 26862
1 25629 16261
1 26680 16423
1 7263 12124
1 1205 36333
1 9161 39206
1 26395 34262
1 19634 9974
1 30195 7451
1 22229 6785
1 15436 16127
1 36484 33874
1 36790 26464
1 33444 31713
1 12345 20866
1 18958 15384
1 36072 16243
1 12313 9362
1 24256 2795
1 16063 32858
1 2786 9644
1 38500 16924
1 1908 6683
1 24215 12664
1 12923 28724
1 26095 2214
1 20909 12617
1 32602 24752
1 34300 8092
1 27963 29321
1 34697 28316
1 16176 9512
1 30132 5950
1 26350 2508
1 11188 34241
1 18351 35313
1 13470 2839
1 5463 37960
1 26431 3560
1 39175 3896
1 29145 33492
1 36974 33846
1 2802 5213
1 18174 3303
1 11969 30430
1 3522 26883
1 33380 21075
1 12874 31150
1 8050 39969
1 35958 29798
1 17759 635
1 8537 5463
1 31187 18550
1 12368 5417
1 399 8823
1 38540 6896
1 12004 284
1 35898 33949
1 588 16172
1 8243 15924
1 20928 17478
1 15238 25250
1 10150 33717
1 27210 8232
1 356 22114
1 38844 10118
1 17695 33080
1 24626 2845
1 29128 2497
1 35689 27517
1 15014 36700
1 34453 38102
1 2108 30922
1 664 34573
1 18201 17054
1 14219 39250
1 12609 16944
1 30689 13496
1 21176 9694
1 33097 33629
1 34432 35733
1 5934 23147
1 16319 14151
1 12164 4967
1 25818 36876
1 1106 4713
1 30767 27638
1 13906 38191
1 19414 9260
1 21522 3002
1 9354 31475
1 12209 21658
1 8261 2308
1 6431 9426
1 25220 21987
1 10994 39863
1 13562 10602
1 2701 29359
1 5657 35083
1 21484 5547
1 29006 25543
1 23682 20997
1 6714 4970
1 36300 7333
1 16510 38048
1 5927 23922
1 32057 11114
1 18408 13794
1 16336 29824
1 3183 27408
1 11398 10570
1 12243 6073
1 29203 34714
1 11875 7275
1 30529 17826
1 27572 15644
1 16383 33476
1 31051 1274
1 11380 17432
1 37586 38501
1 10522 21862
1 17980 38615
1 27461 4253
1 36452 37114
1 7750 9632
1 39504 33627
1 24235 233
1 27385 16893
1 19527 38146
1 15426 39298
1 4559 10355
1 17117 26316
1 8356 23448
1 26885 29025
1 32817 33013
1 38230 32765
1 4241 8829
1 35832 8351
1 29767 29250
1 2292 12869
1 6475 6394
1 1833 35020
1 36412 12396
1 33521 16693
1 34926 4529
1 39026 1587
1 39094 4113
1 27023 5458
1 7586 10897
1 19222 10162
1 38016 18390
1 21785 35051
1 33658 23020
1 1789 3886
1 15803 2460
1 15567 17122
1 8766 13880
1 20919 26196
1 36984 28329
1 39682 25808
1 38622 17312
1 32587 9934
1 27088 34568
1 39178 8407
1 36938 4421
1 13868 16069
1 6434 34962
1 9593 38898
1 38396 19974
1 27715 17614
1 1612 33483
1 9057 1084
1 4361 27426
1 11934 14894
1 14769 3777
1 4277 20231
1 24054 38465
1 21487 13114
1 7250 16077
1 870 16768
1 414 26351
1 32927 11846
1 4499 8953
1 8700 22261
1 19405 38931
1 24180 37486
1 23269 32019
1 31061 28581
1 13625 26659
1 33358 2113
1 29553 9768
1 6965 14929
1 33917 17397
1 16617 783
1 3288 9112
1 968 23055
1 28801 33532
1 21113 9282
1 15069 13536
1 35858 25409
1 15546 25835
1 34866 28871
1 18386 27167
1 9250 27424
1 20848 37929
1 33773 37718
1 6726 12327
1 23908 35536
1 7465 13020
1 28849 35980
1 22188 33190
1 23890 17085
1 39083 14150
1 18950 24346
1 9312 265
1 32490 21261
1 6249 36029
1 23391 38480
1 26958 28320
1 38954 28458
1 11466 14077
1 23435 39199
1 25657 29847
1 2034 33219
1 28747 30197
1 18921 14492
1 36768 27355
1 29929 11335
1 16742 23288
1 27022 25142
1 17833 31043
1 37524 9817
1 18222 20011
1 7216 33525
1 10245 35057
1 4027 22468
1 11538 35407
1 32226 39976
1 14374 11123
1 15750 9490
1 22153 39055
1 261 6786
1 11214 15748
1 25945 26958
1 2 26323
1 2778 27765
1 9307 1583
1 12311 24073
1 2312 380
1 20413 204
1 25644 36592
1 5890 2027
1 30705 21628
1 11031 14372
1 28752 24466
1 27572 10681
1 794 22146
1 17448 18169
1 9897 26806
1 1135 12689
1 7790 4480
1 15382 24000
1 12461 22059
1 3753 14492
1 23633 31791
1 1753 11490
1 3261 34485
1 38352 14871
1 27848 23102
1 37834 7684
1 12509 31613
1 29474 10520
1 22551 33049
1 9634 38159
1 11686 31446
1 2729 22671
1 13523 14171
1 20390 24880
1 13436 30911
1 27140 2280
1 22959 817
1 24523 1195
1 25520 10168
1 29731 27704
1 27490 17981
1 11369 26499
1 31916 1778
1 28020 12369
1 24581 37629
1 12054 8160
1 2043 18138
1 38015 24873
1 22991 19290
1 17894 28209
1 2097 34484
1 30607 1986
1 19145 3723
1 5507 14837
1 28949 18469
1 27484 16251
1 5486 597
1 18835 4297
1 21723 21521
1 35813 35495
1 14163 23025
1 27379 12101
1 9564 12614
1 467 23638
1 38071 3439
1 16013 16848
1 27910 3265
1 9018 20404
1 38466 12962
1 8068 28328
1 29196 8269
1 3102 16995
1 22013 37926
1 14174 11747
1 14552 17653
1 16302 25445
1 4494 34817
1 27911 37436
1 19777 8440
1 5477 15646
1 9234 26316
1 21762 29488
1 22061 16772
1 22427 38955
1 21601 22230
1 2062 2694
1 25877 3437
1 21521 28333
1 1873 34623
1 36010 3498
1 39748 15970
1 9805 25744
1 38932 23099
1 23846 716
1 31576 1011
1 19138 31202
1 38667 13883
1 27258 22619
1 23748 25494
1 31710 21643
1 8716 25996
1 24359 15354
1 35827 36826
1 20842 30000
1 11092 17483
1 23850 5546
1 36249 24266
1 36767 35414
1 19342 21817
1 34868 36402
1 9984 12790
1 24820 17547
1 33741 17819
1 3571 10611
1 206 18781
1 23706 20345
1 3666 5695
1 30356 14631
1 10585 35609
1 29725 15235
1 19752 22087
1 17465 9421
1 6772 5198
1 27237 26089
1 33979 14165
1 23736 32312
1 1295 17500
1 15370 21342
1 16781 33409
1 39363 16955
1 8225 5693
1 34505 28763
1 2553 6151
1 34240 38325
1 11357 13168
1 24012 640
1 17839 27890
1 34218 5410
1 13738 6743
1 29123 18641
1 27327 22572
1 31662 23670
1 15895 20568
1 3614 2328
1 20662 16943
1 30670 39840
1 4515 34565
1 21127 1925
1 30989 25748
1 9061 37554
1 18336 14080
1 16998 27022
1 37294 28800
1 7929 15141
1 11955 31990
1 35410 1031
1 15510 26350
1 18123 18326
1 3160 35399
1 7412 5834
1 2105 36806
1 5308 14792
1 10815 9092
1 6392 23072
1 37691 18204
1 22977 9718
1 29226 15460
1 23005 7869
1 39225 28579
1 7556 18912
1 7732 2800
1 29697 19122
1 779 7440
1 706 14130
1 18007 2534
1 5815 8164
1 35850 13381
1 20936 7433
1 35661 22121
1 27152 6671
1 33001 8818
1 32248 26556
1 10610 8561
1 34328 25043
1 25067 5807
1 23549 27313
1 32102 22431
1 31770 10959
1 6823 20366
1 4575 15679
1 12454 26952
1 25205 38910
1 29452 36890
1 37597 8416
1 39184 36958
1 2887 10877
1 24918 5442
1 33859 33639
1 18313 19760
1 32205 18358
1 27253 26634
1 2756 37762
1 39052 25856
1 5064 19315
1 9467 3543
1 26819 27525
1 36703 17407
1 4174 21632
1 1926 37673
1 20050 8925
1 21144 38726
1 13716 19530
1 24726 30101
1 21994 35281
1 32419 13009
1 16640 16078
1 7321 15219
1 23928 8481
1 28360 33412
1 3503 13239
1 8159 20284
1 13820 9919
1 20212 8888
1 2157 28498
1 27651 14077
1 7609 5057
1 324 17373
1 19097 14580
1 25768 37381
1 21019 33379
1 20828 12166
1 25956 14691
1 16526 5236
1 19513 6416
1 34067 4055
1 14830 9775
1 31978 23496
1 20883 25720
1 13530 28650
1 11514 35406
1 10304 14389
1 21006 21145
1 31446 31492
1 463 1018
1 19668 14508
1 16549 29049
1 18050 39338
1 26104 38457
1 37164 29267
1 212 32419
1 31934 7812
1 38842 36614
1 8363 34609
1 9443 9070
1 758 12266
1 24698 33518
1 21007 20526
1 22889 30125
1 19857 11582
1 5525 15417
1 3389 7405
1 30721 12103
1 9325 17951
1 12582 36812
1 16003 9531
1 28206 24054
1 35386 5191
1 20279 6813
1 29165 22847
1 14409 16739
1 12080 17579
1 16907 2136
1 12446 34915
1 29679 29029
1 12833 29904
1 19608 31666
1 1836 6258
1 14429 13566
1 5562 1050
1 4543 4505
1 7420 22704
1 10407 35450
1 10818 1305
1 30006 1594
1 133 6902
1 14468 18119
1 26975 18885
1 2532 4430
1 22806 3627
1 27091 25549
1 18819 36198
1 17308 4723
1 39249 5453
1 1883 12056
1 26580 3080
1 36987 8564
1 10593 339
1 10465 39682
1 21202 18297
1 14326 32015
1 32931 16936
1 34567 14850
1 39399 13047
1 13971 29322
1 28678 4401
1 17983 36781
1 29341 15682
1 19164 5641
1 18535 2039
1 22869 14211
1 29444 32812
1 5238 30120
1 20101 4381
1 14314 5383
1 7287 36706
1 35234 1545
1 6734 28849
1 24269 8237
1 39201 3094
1 32539 32348
1 3988 6838
1 14341 24922
1 13001 19892
1 22403 10799
1 25213 31885
1 6592 29054
1 21158 32900
1 18528 22037
1 5944 31311
1 5750 18987
1 21510 5784
1 21693 12458
1 16819 9269
1 19252 18172
1 27711 31145
1 25391 1864
1 5569 1668
1 36292 13447
1 24059 21295
1 10665 38014
1 438 24235
1 25179 28539
1 16179 25701
1 2259 3164
1 13886 30666
1 10 9655
1 30229 20529
1 39093 34861
1 32193 17034
1 8844 9649
1 36472 22598
1 19880 18297
1 18397 19109
1 4166 5224
1 21666 21038
1 38619 36115
1 25997 38678
1 39279 39311
1 3426 25371
1 7973 31990
1 30013 9560
1 39107 33367
1 30732 20668
1 16219 1015
1 31629 7365
1 31153 2812
1 5606 9264
1 25940 4661
1 5366 6269
1 14717 18930
1 6273 15365
1 9740 13996
1 893 15449
1 1211 34862
1 9131 17388
1 22005 4345
1 17015 26438
1 2933 8362
1 34354 6951
1 9329 16732
1 24223 30313
1 36855 30622
1 2528 7279
1 30813 21421
1 21095 7927
1 3719 22789
1 23529 12617
1 35589 3192
1 15512 10029
1 16689 24409
1 11815 18508
1 15780 14487
1 609 16050
1 28335 39721
1 16564 19901
1 38963 29297
1 9578 39527
1 3794 3847
1 24064 2290
1 150 19819
1 16109 21663
1 33533 1411
1 2809 6301
1 18221 30110
1 24462 24686
1 9027 25511
1 3232 31797
1 6357 33406
1 5240 26851
1 33385 11989
1 22446 21869
1 15916 13876
1 11765 21460
1 34943 16084
1 30045 28832
1 23825 9349
1 11730 31737
1 36953 4092
1 23546 1485
1 19972 28273
1 16487 25111
1 29358 8862
1 10728 15917
1 14045 36974
1 39021 16160
1 1324 35613
1 4410 29481
1 10771 13743
1 16977 4255
1 16484 19357
1 38746 26212
1 29036 8587
1 26123 14257
1 10621 17361
1 11202 26264
1 17 10107
1 39826 20076
1 24548 36183
1 8036 20973
1 25347 31303
1 8407 27655
1 2614 11293
1 19134 4141
1 37875 17485
1 33048 7013
1 7646 39683
1 29368 19531
1 38786 27182
1 9841 21658
1 19350 36390
1 20620 3508
1 18905 38355
1 39072 9091
1 3404 39997
1 31596 1629
1 20229 15396
1 8107 7456
1 6863 3787
1 10463 21515
1 17975 7262
1 25279 39371
1 31407 11924
1 8821 20619
1 37710 27479
1 16920 25682
1 30988 19236
1 25510 25921
1 9717 37651
1 11552 4367
1 33042 30848
1 7981 310
1 23140 22306
1 15764 34637
1 38520 2618
1 17184 9387
1 35054 13532
1 36925 39238
1 9461 23329
1 19590 14788
1 27900 16325
1 23010 1251
1 19477 11641
1 2480 18331
1 108 12753
1 39525 25834
1 28707 24927
1 7680 2867
1 11170 36698
1 16438 989
1 341 31370
1 11689 13067
1 20760 29161
1 13480 38222
1 24742 29475
1 26946 10284
1 14423 7763
1 36213 36103
1 17199 38390
1 9603 18460
1 17700 21556
1 3202 145
1 22274 2634
1 14916 34040
1 17268 2674
1 21915 11802
1 783 13167
1 13825 16793
1 25576 37687
1 32638 10946
1 31818 838
1 1174 29976
1 13271 4568
1 8573 33392
1 6320 19985
1 25027 631
1 29676 15944
1 28468 38935
1 14867 35213
1 35690 33629
1 32506 23120
1 414 38164
1 29500 13024
1 38463 10953
1 8242 21446
1 3551 16548
1 7694 17106
1 7701 20840
1 3577 859
1 14577 24479
1 31132 3715
1 27815 1246
1 581 19986
1 22394 30776
1 27611 39901
1 5637 20494
1 26131 36443
1 38421 3931
1 29457 36475
1 9476 36645
1 28430 23404
1 25174 15723
1 17334 37995
1 35518 16091
1 12380 25210
1 35624 20177
1 11061 24899
1 10223 29809
1 2361 31459
1 29591 12446
1 14376 2579
1 22449 5269
1 16685 5262
1 38498 32104
1 7256 22407
1 26704 983
1 4641 39684
1 8435 740
1 39882 24904
1 11303 999
1 36042 2596
1 11675 26495
1 20378 23990
1 8440 31885
1 17935 39223
1 18730 6644
1 17173 25874
1 31769 33542
1 10591 26269
1 26264 15879
1 22764 29147
1 20439 35528
1 26777 39349
1 8625 34132
1 9056 845
1 5964 30060
1 39317 12352
1 34371 29656
1 19942 17707
1 29330 7418
1 20560 29141
1 18708 308
1 31770 7353
1 12280 15771
1 17229 35002
1 24035 36766
1 27466 5917
1 29149 3148
1 32233 4380
1 8552 14871
1 355 13764
1 12002 38917
1 21994 38946
1 16547 10481
1 20351 19243
1 16354 25868
1 13418 3384
1 796 28739
1 6124 13504
1 37287 5298
1 12607 24650
1 3807 15215
1 21934 37230
1 38058 20117
1 13832 19161
1 5284 12090
1 27240 24632
1 17892 7793
1 18729 11637
1 17405 31781
1 3263 29987
1 21236 24088
1 22119 30418
1 5607 7701
1 12055 36938
1 948 11987
1 17520 12671
1 12609 3326
1 9389 5590
1 25401 22849
1 14805 18744
1 12426 8671
1 14231 24113
1 32857 20164
1 17883 35832
1 38490 23723
1 31162 3347
1 13200 28072
1 28269 25244
1 1150 28250
1 23414 37896
1 32268 9619
1 30276 2654
1 35843 568
1 23600 4261
1 26148 9217
1 25638 631
1 38391 21965
1 26629 617
1 17125 22179
1 19150 36956
1 24654 12116
1 7106 30948
1 28113 23257
1 102 324
1 22561 20111
1 15741 21004
1 1346 32614
1 27649 38708
1 38396 8548
1 28701 31166
1 14375 11642
1 16243 813
1 32526 10400
1 5011 2195
1 38495 16924
1 33149 11707
1 34347 5782
1 2044 17464
1 31583 24434
1 25663 4988
1 3185 29057
1 11265 16174
1 30218 20421
1 35595 6702
1 6976 15993
1 29912 12454
1 6733 8439
1 13336 2416
1 27699 17861
1 30910 23747
1 9015 38133
1 7392 39538
1 15468 2165
1 34077 38079
1 22153 37304
1 16051 8072
1 23349 13858
1 18138 35023
1 37133 21434
1 30102 34916
1 27471 28840
1 28745 37310
1 14977 8040
1 19325 7296
1 34026 12986
1 28596 34882
1 32035 14580
1 16348 26580
1 39638 37117
1 17264 10803
1 17333 27356
1 39543 25924
1 35195 15025
1 6620 38702
1 35705 10450
1 8151 37924
1 2584 2147
1 34960 39379
1 1250 13876
1 8244 38177
1 35875 10434
1 24400 23067
1 27987 30728
1 4458 5065
1 364 3160
1 15078 9720
1 33358 1185
1 35274 16274
1 24698 34252
1 13242 734
1 15252 22700
1 14664 33667
1 13392 35674
1 12759 21977
1 10773 25467
1 36472 11736
1 29444 12376
1 16465 28929
1 11157 11619
1 23397 12675
1 34765 34908
1 18753 1148
1 26583 31532
1 30314 17798
1 21595 37321
1 37078 17176
1 9419 37285
1 22848 29876
1 17387 27809
1 24228 18522
1 3014 3700
1 14323 32423
1 3006 27489
1 13122 22325
1 7408 2009
1 20479 7409
1 12575 10466
1 30956 32683
1 6574 20069
1 10666 2444
1 1716 29236
1 34334 10384
1 25890 3699
1 22321 8435
1 6262 30141
1 30735 12
1 24120 11689
1 1376 26778
1 8472 39286
1 7588 9814
1 22640 10774
1 14441 39097
1 17730 27308
1 24876 20846
1 10731 1483
1 1090 11995
1 7889 5525
1 26489 26598
1 8212 23718
1 13182 11581
1 25584 39474
1 20528 20589
1 34103 31044
1 27508 22930
1 37187 2923
1 9832 16489
1 24188 4696
1 24550 28549
1 35127 22228
1 38657 14076
1 19054 24285
1 7467 32518
1 5776 25784
1 24232 304
1 38184 8395
1 6182 20743
1 5659 25268
1 37972 15038
1 27180 23319
1 28001 31270
1 9656 39163
1 37479 20638
1 29367 35179
1 10604 37802
1 18732 10977
1 11358 37064
1 38552 28177
1 15496 23005
1 25138 22719
1 13274 39200
1 37052 35735
1 28971 17225
1 16779 2703
1 36085 5272
1 38653 21801
1 14129 2545
1 21464 16085
1 33790 34221
1 20813 28555
1 11669 6081
1 17172 34919
1 29659 24235
1 2113 24738
1 34589 29208
1 3063 11138
1 9644 12518
1 23905 13478
1 6392 4760
1 10129 26941
1 15928 12411
1 36296 30659
1 1621 5668
1 28198 30618
1 29075 14542
1 31853 3016
1 1754 24246
1 22162 16684
1 33742 5576
1 28068 9275
1 37879 36865
1 5789 4728
1 15021 23300
1 18349 27785
1 322 33191
1 21577 6644
1 2380 20257
1 38778 21873
1 12449 5740
1 10316 36297
1 5685 31628
1 13023 31699
1 19860 29668
1 37947 20389
1 34496 8301
1 34151 35500
1 26015 12688
1 2225 16182
1 7755 10338
1 5685 10053
1 33759 21321
1 2277 29140
1 31159 37419
1 37242 1703
1 39646 16582
1 32160 26394
1 9865 25844
1 29116 22851
1 9323 18720
1 10625 19410
1 17535 28557
1 22277 34322
1 35363 2960
1 32005 38407
1 1245 2043
1 17645 26529
1 5163 2162
1 25987 39731
1 37467 22145
1 18887 32087
1 34505 3401
1 15619 123
1 10769 17281
1 36026 34133
1 6039 23455
1 4295 402
1 7731 23826
1 33162 24209
1 8960 6240
1 141 33126
1 1789 7842
1 3175 36075
1 28148 1283
1 33713 28820
1 30372 32765
1 20799 33445
1 10260 3067
1 36608 37819
1 4014 20643
1 23870 13753
1 36942 13540
1 11342 36805
1 27594 28509
1 7907 9097
1 29010 19010
1 19739 32125
1 2870 25246
1 14624 16423
1 19394 2433
1 28054 18929
1 21500 17526
1 27148 39993
1 637 21215
1 29979 7965
